provider_id,provider,product,price_amount,currency,period,price_kind,price_display,physical_cores,hardware_threads,memory_vendor_gb,memory_gib,raw_local_storage_gb,public_port_mbps,service_rate_mbps,transfer_tb,unmetered,country_codes,location_scope,product_url,artwork_count,notes
clouvider,Clouvider,"Preconfigured E3-1240 v5, London — SSD",74,USD,month,advertised_configuration,USD 74/month in the final USD locale; earlier EUR locale displayed EUR 64,4,8,16,,240,1000,,50,False,GB,Preconfigured offer explicitly names London,https://www.clouvider.com/dedicated-servers/,0,"Price is locale/currency-specific, not a USD-to-EUR conversion. The 50 TB allowance is not unmetered. Other dedicated regions include Manchester, Amsterdam, Frankfurt and seven US metros; this price/configuration is London."
redswitches,RedSwitches,Dedicated / Bare Metal Servers,,,month,quote_or_configurator,Sales or configurator quotation,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.redswitches.com/,0,Month-to-month and zero-setup claims are product/contract dependent. Record actual facility and upstream separately.
velia,Velia,AMD Ryzen 9 7950X3D,139,EUR,month,sale,EUR 139/month advertised sale,16,32,128,,1920,,,,,DE;US;SG,provider footprint; confirm SKU availability,https://www.velia.net/gaming/,0,Vendor listing refers to DDR5 ECC REG; verify the actual memory implementation on this consumer CPU rather than normalizing it as registered ECC.
ip-projects,IP-Projects,Performance Server Ryzen 5 8400F,101.46,EUR,month,starting_price_with_spec_conflict,From EUR 101.46/month,,,,,2000,,,,,DE,provider footprint; confirm SKU availability,https://www.ip-projects.de/,0,Keep RAM numeric field null until checkout resolves the 32/64 GB discrepancy.
avoro,Avoro,Ryzen 9000 Dedicated / Instant Dedicated,141.92,EUR,month,family_minimum_not_a_configured_offer,From EUR 141.92/month excluding VAT for Ryzen 9000 family,,,,,,,,,,DE,provider footprint; confirm SKU availability,https://avoro.eu/dedicated-server,0,Avoro Rootserver/Power Rootserver is not the same as this physical Dedicated line.
keyweb,Keyweb,Keymachine KM i7 | 32 GB,74,EUR,month,advertised_configuration,EUR 74/month + EUR 119 setup; German consumer prices include 19% VAT,6,,32,,500,1000,,,,DE,Dedicated physical service explicitly in Germany,https://www.keyweb.de/en/server/dedicated-root-server/dedicated-basic-server,0,Minimum contract one month; 14-day end-of-term notice. RAM/drive upgrades are separate charges. Dedicated VPS is not this physical product. RAID 1 usable capacity is about 250 GB before overhead. Transfer row is blank in parsed comparison; do not silently call it unlimited.
myloc-servdiscount,myLoc / servdiscount,servdiscount dedicated inventory,,,month,configurator_not_captured,Live inventory price; exact basket not captured,,,,,,,,,,DE,Provider identifies Düsseldorf for these servers,https://servdiscount.com/,0,"Group myLoc, servdiscount and webtropia for supplier concentration analysis; do not count them as three unrelated networks."
fasthosts,Fasthosts,Xeon-E-32-NVMe,100,GBP,month,discounted_configuration_terms_unverified,GBP 100/month discounted; displayed regular GBP 115; promotion term needs checkout,6,,32,,1024,,,,True,GB,UK dedicated service,https://www.fasthosts.co.uk/dedicated-servers/cheap,0,Landing-page “from GBP 25” is not the selected configuration. Limited-stock message displayed. Port hardware family supports dual GbE/10GbE variants; no included per-SKU Internet speed inferred. RAM/storage are not family maximums.
ukservers,UKServers,cPanel 270,124,GBP,month,starting_price_configuration_incomplete,From GBP 124/month,8,,32,,,,,,,GB,provider footprint; confirm SKU availability,https://www.ukservers.com/baremetal-server/cpanel-servers/,0,cPanel-focused offering may include licensing/management. Ask for an unmanaged Linux equivalent rather than assuming identical price.
rapidswitch,RapidSwitch,AMD dedicated family,47.95,GBP,month,family_minimum_not_a_configured_offer,From GBP 47.95/month; specific SKU not captured,,,,,,,,,,GB;US,provider footprint; confirm SKU availability,https://www.rapidswitch.com/,0,Do not use the UK family minimum as a Dallas quote.
namecheap,Namecheap,Dedicated Server catalog,44.88,USD,month,family_minimum_not_a_configured_offer,Advertises from USD 44.88/month; promotions and annual equivalents vary,,,,,,,,,,US,provider footprint; confirm SKU availability,https://www.namecheap.com/hosting/dedicated-servers/our-prices/,0,"Full root requires User-Responsible or Basic management. Hardware upgrades mean changing plan, not arbitrary live RAM additions."
novoserve,NovoServe,Dedicated / unmetered servers,,,month,quote_or_configurator,1 Gbps unmetered configurations advertised above EUR 100/month; exact SKU quote,,,,,,,,25,,NL;DK;US,provider footprint; confirm SKU availability,https://novoserve.com/dedicated-servers,0,Do not conflate 25 TB metered standard with separately priced unmetered transit.
nforce,NFOrce,HP DL320e v2 Budget 1,49.99,EUR,month,12_month_contract,EUR 49.99/month excluding VAT; standard 12-month auto-renewing contract,4,8,16,,4000,1000,,10,,NL,provider footprint; confirm SKU availability,https://www.nforce.com/,0,"Site states own hardware, not reseller. Exact stock/site must still be selected."
altushost,AltusHost,Dedicated Servers,,,month,quote_or_configurator,Sales/configurator quotation,,,,,,,,,,,provider footprint; confirm SKU availability,https://altushost.com/,0,
hostkey,HOSTKEY,AMD EPYC 9354 dedicated offer,299,EUR,month,starting_price,From EUR 299/month advertised,32,,192,,2000,10000,,50,,,provider footprint; confirm SKU availability,https://hostkey.com/,0,Do not use bm.v/vCPU-marked products as evidence of a complete physical host. Confirm the selected EPYC listing is single-tenant full hardware.
fdcservers,FDCServers,Unmetered Dedicated Servers,129,USD,month,family_minimum_not_a_configured_offer,From USD 129/month; base hardware not captured,,,,,,,,,True,,provider footprint; confirm SKU availability,https://fdcservers.net/product/unmetered-dedicated-servers,0,Do not infer physical-server locations from FDC VPS availability.
aruba,Aruba,AV-A205.1,110.68,EUR,month,advertised,EUR 110.68/month + VAT,6,,32,,1000,1000,,,True,IT,Product row lists these locations,https://www.arubacloud.com/dedicated-servers-range/,0,"DDR5 on-die ECC is not proof of end-to-end server ECC. SeFlow is another Aruba line, not independent. Lower-priced RD-I101 has 25 TB/month, not unlimited."
ikoula,IKOULA,Regen S1,180,EUR,month,advertised,EUR 180/month regular; EUR 150/month promotion code IKREGEN30; excluding VAT,24,48,128,,1920,1000,,,True,FR,provider footprint; confirm SKU availability,https://www.ikoula.com/en/dedicated-server/regen,0,Use EUR 180 for non-promotional cost scenarios; code price may expire. Do not count 1 Gbps as committed bandwidth.
nine,Nine,Root Dedicated Server,233,CHF,month,advertised,CHF 233/month + CHF 250 setup,16,,32,,,,,,,CH,provider footprint; confirm SKU availability,https://docs.nine.ch/docs/root-server/,0,"Managed Dedicated is a different, higher-priced service; do not substitute managed price or disks without validating the root configuration."
glesys,GleSYS,X11-1,265,EUR,month,advertised,"EUR 265/month (also SEK 2,665 listed), excluding VAT",14,28,64,,960,10000,,,,SE,Exact X11-1 row locations,https://glesys.com/pricing/,0,"Other GleSYS SKUs offer Oulu FI or Oslo NO, but do not propagate those locations to X11-1."
m247-global,M247 Global,Dedicated Servers,,,month,quote_only,Sales quotation,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.m247global.com/dedicated-server,0,
gthost,GTHost,Supermicro Blade Xeon D-1531,59,USD,month,advertised,USD 59/month; USD 5/day trial is separate,6,12,16,,480,300,,,True,US,provider footprint; confirm SKU availability,https://gthost.com/dedicated-server-usa/,0,Do not confuse daily trial pricing with a daily production billing plan.
servermania,ServerMania,AMD EPYC 4124P entry configuration,139,USD,month,provider_guide_example_not_checkout,"USD 139/month in provider pricing guide dated July 14, 2026",,,32,,1000,1000,,100,,,provider footprint; confirm SKU availability,https://www.servermania.com/kb/articles/dedicated-server-hosting-pricing,0,"Linux example. Treat the article as a published example, not a guaranteed purchasable basket."
reliablesite,ReliableSite,AMD Ryzen 5600X 64GB Rapid Deploy,129,USD,month,advertised_configuration,USD 129/month,6,12,64,,512,,1000,,True,US,Inventory row for selected configuration,https://www.reliablesite.net/dedicated-servers/,0,"Inventory snapshot names Miami for this exact configuration. Provider also lists NYC, Los Angeles, Dallas, Amsterdam and Querétaro, but that is not universal SKU stock. Port wording conflicts: free 10 Gbps versus Metal+ conditional; retain the clear 1 Gbps service entitlement, leave physical port unknown. Ignore erroneous DDR5 upsell text for Ryzen 5600X."
interserver,InterServer,"Buy It Now — 2 × Xeon E5-2680 v4 8SFF, SATA storage",236,USD,month,advertised_configuration,USD 236/month; zero setup fees advertised,28,,128,,48000,1000,,,True,US,"Selected stocked offer names NYC region, not an exact facility",https://www.interserver.net/dedicated/,3,"NYC-region stocked offer, not the USD 213 NVMe variant. Other dedicated metros are Dallas and Los Angeles; hardware varies. Stock listings and a generic sold-out notice coexist, so availability is not guaranteed."
liquid-web,Liquid Web,Managed Dedicated Servers,,,month,quote_or_configurator,Sales/configurator quotation,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.liquidweb.com/,0,Managed software/support can inflate comparisons against unmanaged Hetzner. Quote an equivalent Linux-only configuration.
openmetal,OpenMetal,Bare Metal,,,month,configurator_not_captured,Pricing table/configurator; exact basket not captured,,,,,,,,,,,provider footprint; confirm SKU availability,https://openmetal.io/bare-metal-pricing/,0,Bare-metal rental and multi-node hosted private cloud are different units of purchase; do not divide a cluster price by an assumed node count.
wholesale-internet,Wholesale Internet,Dual Xeon E5-2660 custom dedicated,64,USD,month,advertised,USD 64/month; free setup,16,32,32,,480,1000,,,True,US,provider footprint; confirm SKU availability,https://www.wholesaleinternet.net/custom_dedicated/,0,Legacy hardware; power efficiency and single-thread performance differ substantially from modern EPYC/Ryzen.
dacentec,Dacentec,Supermicro 8-bay dual E5-2650 v2,80,USD,month,advertised,USD 80/month in current billing inventory,,,128,,6240,1000,,,,US,provider footprint; confirm SKU availability,https://dacentec.com/hostbill/,0,"The billing URL contains an unavailable older selected item but also current inventory rows; this record describes the listed Supermicro offer, not that unavailable Opteron. Some other plans are rent-to-own."
database-mart-server-mart,Database Mart / Server Mart,Lite Dedicated SSD,41,USD,month,recurring_promotion,USD 41/month recurring promotion; regular USD 49,4,,16,,980,100,,,True,US,provider footprint; confirm SKU availability,https://www.databasemart.com/pricing,0,Do not confuse server-mart.com with unrelated similarly named providers. SSD plus SATA auxiliary disk is not a mirrored pair.
colocation-america,Colocation America,Intel Xeon E3-1270 v6 dedicated,135,USD,month,advertised,USD 135/month,4,8,,,,1000,,15,,US,provider footprint; confirm SKU availability,https://www.colocationamerica.com/dedicated-servers-all,0,"The catalog reports maxima, not necessarily included RAM or disk. A separate E3-1220 row has a suspicious thread count; that row is not normalized here."
tier-net,Tier.Net,Single Intel E3-1270 v6 dedicated,,,month,configurator_not_captured,Exact SKU price requires order; family from USD 49.95 is not this configuration,4,,64,,500,10000,,20,,US,provider footprint; confirm SKU availability,https://www.tier.net/dedicated-server-hosting,0,Managed support is a separate add-on. Do not equate 10 Gbps access with 10 Gbps sustained unmetered Internet.
hostdime,HostDime,Self-managed Xeon E3-1230 v5,129,USD,month,advertised,USD 129/month,4,8,16,,480,1000,,,,US;BR;MX;GB;CO;IN,provider footprint; confirm SKU availability,https://www.hostdime.com/self-managed-dedicated-servers,2,Normalized disk selects the SSD option. Do not interpret the approximate 25 TB as an independently verified metered allowance. Do not count announced Mexico 2028 facility as operating.
racknerd,RackNerd,Intel Xeon E3-1230 v2 bare metal,139,USD,month,advertised,USD 139/month; optional 15OFFDEDI promotion requires checkout,,,16,,480,1000,,35,,US,provider footprint; confirm SKU availability,https://www.racknerd.com/dedicated-servers,2,Hybrid Dedicated is a different virtualized product and excluded. Separate 160 TB storage special is USD 479/month in Los Angeles DC-02.
lumadock,LumaDock,BM.E1 / HPE ProLiant DL360 Gen9,119,USD,month,promotion_billing_term_needs_confirmation,USD 119/month promotional; displayed regular USD 159; billing selector/commitment must be checked,24,48,64,,6000,1000,,,True,GB;DE;US;NL;FR;ES,provider footprint; confirm SKU availability,https://lumadock.com/dedicated-servers,0,Milan marked SOON is not included. Exact city/SKU availability and annual selector effect must be verified.
gcore,Gcore,Hong Kong Xeon E-2136 dedicated,158,USD,month,advertised,USD 158/month,,,32,,4000,1000,,5,,HK,Exact regional product page,https://gcore.com/hosting/dedicated/hong-kong,1,Gcore Cloud minute-billed bare metal is a separate purchase path; do not combine its EUR prices with this hosting offer.
zenlayer,Zenlayer,S-Series Bare Metal Cloud,0.587,USD,hour,family_minimum_not_a_configured_offer,From USD 0.587/hour; selected monthly promotional locations from USD 77 are separate,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.zenlayer.com/bare-metal/,0,"Do not pair all maximum hardware/network values with the minimum price. Cloud USD 8.03 offerings are VMs, not these physical servers."
exabytes,Exabytes,Economy Self-Managed Dedicated,515.9,MYR,month,advertised,MYR 515.90/month + MYR 500 setup,4,,16,,2000,100,,,True,MY,provider footprint; confirm SKU availability,https://www.exabytes.my/servers/dedicated-server,2,Do not assume a 100 Mbps committed dedicated circuit from the shared-port wording. Managed tiers and larger setup fees are different offers.
ip-serverone,IP ServerOne,Single NVIDIA RTX 4090 dedicated GPU server,2099,MYR,month,starting_price,"From MYR 2,099/month + 8% SST",16,,64,,3800,300,,,,MY,provider footprint; confirm SKU availability,https://www.ipserverone.com/pricing/,0,"Page says software RAID 1 while listing a single disk: treat RAID/usable capacity as unresolved. Use MYR, not the illustrative USD conversion at 4.4 MYR/USD. Nova GPU VM is excluded."
e2e-networks,E2E Networks,Dedicated / Bare Metal Servers,,,month,quote_only,Current quote required after July/August 2026 pricing changes,,,,,,,,,,IN,provider footprint; confirm SKU availability,https://docs.e2enetworks.com/docs/myaccount/billing/pricing-update-july-2026/,0,Provider pricing-change notice directs dedicated/bare-metal customers to account managers. Do not use pre-change rates or VM prices.
voyager,Voyager,Low dedicated — 32 GB,365,NZD,month,advertised,NZD 365/month + GST,16,,32,,2000,,,,True,NZ,provider footprint; confirm SKU availability,https://voyager.nz/business/hosting/dedicated-servers,0,"64 GB variant is NZD 375/month. This is the physical dedicated service, not the cloud-server line."
xneelo,xneelo,TruServ Plus 2336,1995,ZAR,month,advertised,"ZAR 1,995/month + ZAR 695 setup; VAT inclusive",6,12,32,,2000,,,,True,ZA,provider footprint; confirm SKU availability,https://xneelo.co.za/dedicated-servers/,0,Use self-managed TruServ for full control. Do not mislabel old Hetzner South Africa/xneelo photographs as the German Hetzner fleet.
hostafrica,HOSTAFRICA,Metal Core Linux 8,140.84,USD,month,advertised,USD 140.84/month advertised; confirm billing currency,8,16,,,,,,,,,provider footprint; confirm SKU availability,https://www.hostafrica.com/servers/dedicated-servers/,0,VDS rows on the same page are virtual and excluded. Do not infer dedicated locations from the entire VPS footprint.
edgeuno,EdgeUno,Bare Metal,695,USD,month,family_minimum_not_a_configured_offer,From USD 695/month; custom host configuration,,,,,,,,,,AR;BR;CL;CO;EC;MX;PE,provider footprint; confirm SKU availability,https://edgeuno.cloud/,0,"45+ sites is a provider network claim, not 45 confirmed locations for every bare-metal configuration. VPS prices are not dedicated prices."
bacloud,Bacloud,Epyc U33 customizable dedicated,187,EUR,month,starting_price_configuration_incomplete,EUR 187/month; minimum one month,,,,,,,,,,LT;NL,provider footprint; confirm SKU availability,https://www.bacloud.com/en/dedicated-servers,1,Capacity maxima and chassis drive bays are not included RAM/disks. Free setup advertised. Own Lithuanian facility provides useful real data-centre artwork.
arsys,Arsys,Dedicated Servers,,,month,quote_or_configurator,Pay-per-use/configurator quotation,,,,,,1000,,,True,ES,provider footprint; confirm SKU availability,https://www.arsys.net/servers/dedicated,0,Do not treat a provider landing-page starting price as a priced configuration. Investigate corporate affiliation before counting as independent from IONOS.
sakura-internet,Sakura Internet,Sakura PHY dedicated servers,,,month,configurator_not_captured,Current PHY configurator/quotation; no reliable matched price captured,,,,,,,,,,JP,provider footprint; confirm SKU availability,https://server.sakura.ad.jp/,0,"Older Sakura dedicated generations have separate end-of-sale/end-of-service notices. Do not assume they describe current PHY availability, or use old-generation prices."
kagoya,Kagoya,KAGOYA FLEX Bare Metal,,,month,quote_only,Sales/configurator quotation,,,,,,,,,,JP,provider footprint; confirm SKU availability,https://www.kagoya.jp/,0,KAGOYA FLEX bare metal is the relevant family. Old managed-hosting campaign prices are not used as a physical-server quotation.
idc-frontier,IDC Frontier,Standard 2P32C256GB,115000,JPY,month,advertised_configuration,"JPY 115,000/month; setup JPY 0; excluding tax",32,,256,,,,,,,JP,Bare-metal pricing page identifies the facility; region-specific interfaces,https://www.idcf.jp/cloud/baremetal/price/,0,"East Japan 1 has redundant 1 Gbps interfaces; East Japan 2/3 redundant 10 Gbps. Internal storage options are 400 GB RAID 1 or 2,400 GB RAID 5 using SAS SSDs and hot spare; exact included selection must be checked. 21+ nodes requires sales consultation. Hardware and stock may vary; no CPU/RAM/disk changes after order."
servers-australia,Servers Australia,Value Dedicated / Enterprise HPE ProLiant DL365 Gen11,99,AUD,month,family_minimum_not_a_configured_offer,Value family from AUD 99/month ex GST; selected hardware and other landing pages differ,,,,,,,,,,AU,provider footprint; confirm SKU availability,https://www.serversaustralia.com.au/products-services/dedicated-servers,0,Do not pair the AUD 99 Value minimum with the Enterprise Gen11 hardware. Other site pages show different starting prices; marketplace basket controls.
digital-pacific,Digital Pacific,X-C6620-2 — Dell PowerEdge C6620 node,473,AUD,month,displayed_rate_billing_widget_discrepancy,"AUD 473/month displayed; billing-cycle widget contains inconsistent equivalent figures, so checkout must confirm",16,,64,,1920,,,5,,AU,Dedicated page explicitly locates its server fleet in Sydney,https://www.digitalpacific.com.au/dedicated/dedicated-servers/,3,"Australian storefront; confirm currency and tax. Use the primary displayed rate, not the contradictory half/third-price widget equivalents. Dedicated physical compute node in shared blade chassis; shared chassis remains a failure domain. Stock is only a snapshot."
ransomit,RansomIT,ME2-E-2136-64GB-2x500GBNVME-10G,165,USD,month,advertised_configuration,USD 165/month in selected USD storefront,6,,64,,1000,10000,,20,False,AU,Product-row site; category-header ME1 discrepancy recorded,https://secure.ransomit.com.au/index.php?rp=/store/melbourne-dedicated-servers,0,"Product row explicitly says Equinix ME2 although the category heading says ME1; selected row wins provisionally and must be confirmed. USD is explicit; do not assume AUD. One unit shown available, not a bulk reservation. Other city catalogs have separate hardware and prices."
donweb,DonWeb,Servidores Dedicados,,,month,configurator_not_captured,Current catalog/configurator; exact basket not captured,,,,,,,,,,,provider footprint; confirm SKU availability,https://donweb.com/en-int/servidores-dedicados,0,Keep physical dedicated offers separate from cloud/VPS and Proxmox virtual packages. Country remains unknown until the dedicated order location is verified.
afrihost,Afrihost,Bronze Self-Managed Dedicated,1350,ZAR,month,advertised,"ZAR 1,350/month; free setup",4,,8,,2000,1000,,,True,ZA,provider footprint; confirm SKU availability,https://www.afrihost.com/dedicated-hosting,0,"Month-to-month. Provider retains hardware ownership; this is rental, not colocation or purchased hardware."
amazon-web-services,Amazon Web Services,EC2 m7i.metal-24xl,,,month,regional_rate_not_captured,Region-specific hourly On-Demand price; exact primary-source price not captured,,,,384,,,,,,,provider footprint; confirm SKU availability,https://aws.amazon.com/ec2/instance-types/m7i/,0,"Only the .metal SKU is physical bare metal. Ordinary EC2 instances, dedicated tenancy and Dedicated Hosts are different products. Never treat internal network bandwidth as included Internet transit."
oracle-cloud,Oracle Cloud,BM.Standard.E5.192,,,month,current_rate_not_captured,"Current compute, memory and network rate quotation required",,,2304,,,,,,,,provider footprint; confirm SKU availability,https://docs.oracle.com/en-us/iaas/Content/Compute/References/computeshapes.htm,0,A 2023 launch price was not assumed current in September 2026. OCPU meaning is shape/architecture dependent: preserve the vendor unit rather than imposing one universal conversion.
alibaba-cloud,Alibaba Cloud,Elastic Bare Metal ecs.ebmg7.32xlarge,,,month,configurator_not_captured,Regional ECS calculator / console pricing,,,,512,,,,,,,provider footprint; confirm SKU availability,https://www.alibabacloud.com/help/en/ecs/user-guide/elastic-bare-metal-server-overview,0,"Physical single-tenant Elastic Bare Metal, not normal ECS VMs. Source overview updated August 17, 2026. Do not translate 128 vCPUs into 128 physical cores."
tencent-cloud,Tencent Cloud,Cloud Bare Metal (CBM),,,month,configurator_not_captured,Compute + system/data disks + network charged separately; console quote,,,,,,,,,,,provider footprint; confirm SKU availability,https://www.tencentcloud.com/product/cbm,0,Physical bare-metal product confirmed; no matched current public configuration/price was captured. Do not seed invented host specifications.
huawei-cloud,Huawei Cloud,BMS physical.s4.xlarge (China pricing),6560,CNY,month,estimated_configuration,"CNY 6,560/month estimated configuration price; checkout controls",28,,192,,,,,,,CN,provider footprint; confirm SKU availability,https://www.huaweicloud.com/product/bms.html,1,Do not combine China CNY rates with international USD configurations. The 10 GE interface does not imply a free 10 Gbps public Internet connection.
shinjiru,Shinjiru,E3 Premium — Malaysia,119.9,USD,month,starting_price,From USD 119.90/month,4,,32,,4000,,,,True,MY,provider footprint; confirm SKU availability,https://www.shinjiru.com/offshore-web-hosting/offshore-dedicated-server-business/,0,Keep the 1 Gbps headline and 300 Mbps plan speed as distinct unresolved fields. No-setup wording includes a 12-month condition; do not assume monthly orders have no setup charge.
i3d-net,i3D.net,bm9.hmm.12,213,USD,month,global_starting_price_not_location_quote,From USD 213/month; varies by region,12,24,128,,1920,,,,,,provider footprint; confirm SKU availability,https://www.i3d.net/bare-metal-servers/,1,Physical single tenant explicitly confirmed. Committed dedicated and hourly Bare Metal Cloud have different pricing modes. Provider backbone capacity is not per-server bandwidth.
gabia,Gabia,One-minute rental — HP DL160 Gen10 SSD,150000,KRW,month,advertised,"KRW 150,000/month, excluding VAT",6,,16,,1480,,,,,KR,provider footprint; confirm SKU availability,https://idc.gabiacloud.com/server/onemin,0,Pure hardware rental without term commitment or purchase requirement. Preserve 10 Mbps contracted allowance separately from 1 Gbps uplink; do not advertise 1 Gbps unlimited.
idcloudhost,IDCloudHost,Bare Metal Dedicated Server,2500000,IDR,month,family_minimum_not_a_configured_offer,"From IDR 2,500,000/month",,,,,,,,,,ID;SG,provider footprint; confirm SKU availability,https://idcloudhost.com/,0,Homepage lists physical bare metal but retrieved minimum is not paired with a complete host configuration. Do not import third-party Xeon/RAM claims into this price.
vinahost,VinaHost,Xeon Quad Core E3 v1-2-3 Series Basic,94.03,USD,month,36_month_equivalent_verify_checkout,USD 94.03/month advertised with 36-month selection; verify prepaid total,4,8,8,,240,,,,True,VN,provider footprint; confirm SKU availability,https://vinahost.vn/en/server/,0,Do not present the long-term equivalent as cancel-anytime monthly pricing. Preserve the split network label rather than silently assuming a 100 Mbps international circuit.
radore,Radore,Dell R630 — 64 GB,259,USD,month,advertised,USD 259/month,,,64,,1920,,,,True,TR,provider footprint; confirm SKU availability,https://radore.com/services/dedicated,0,Do not treat the top of a configurable 100 Mbps–1 Gbps range as a guaranteed included port. /29 IP block advertised.
